RINEX Analysis Report
Generated: 2025-09-29 18:05:20

HEADER INFORMATION
version,4.01
type,O
program,GnssLogger
run_by,samsung 15
date,20250929 131928 UTC
marker_name,Google GnssLogger
receiver_number,Unknown
receiver_type,GnssLogger
receiver_version,v3.1.0.3
first_obs_time,2025    09    29    13    19   28.0000000
glonass_freq,6 R01  1 R07  5 R08  6 R10 -7 R11  0 R12 -1

TIME SPAN
start_time,2025-09-29 13:19:28.999999
end_time,2025-09-29 13:21:16.999999
duration_seconds,108.0
duration_minutes,1.80

CONSTELLATION SUMMARY
constellation,name,total_observations,unique_satellites
G,GPS,1068,10
E,Galileo,653,6
C,BeiDou,732,10
R,GLONASS,652,6

SATELLITE DETAILS
satellite_id,constellation,constellation_name,total_epochs,tracking_duration_sec
G07,G,GPS,109,108.0
G22,G,GPS,109,108.0
G30,G,GPS,109,108.0
G14,G,GPS,109,108.0
G13,G,GPS,107,108.0
G05,G,GPS,109,108.0
G09,G,GPS,109,108.0
G21,G,GPS,109,108.0
E30,E,Galileo,109,108.0
E27,E,Galileo,109,108.0
C21,C,BeiDou,109,108.0
E07,E,Galileo,109,108.0
C26,C,BeiDou,109,108.0
R08,R,GLONASS,109,108.0
R11,R,GLONASS,109,108.0
E29,E,Galileo,109,108.0
R10,R,GLONASS,109,108.0
C09,C,BeiDou,109,108.0
R01,R,GLONASS,108,108.0
C14,C,BeiDou,109,108.0
R12,R,GLONASS,109,108.0
E21,E,Galileo,109,108.0
R07,R,GLONASS,108,108.0
C10,C,BeiDou,108,108.0
E19,E,Galileo,108,107.0
G17,G,GPS,107,107.0
C22,C,BeiDou,3,60.0
G08,G,GPS,91,102.0
C07,C,BeiDou,98,97.0
C29,C,BeiDou,62,94.0
C05,C,BeiDou,23,26.0
C24,C,BeiDou,2,1.0

SIGNAL QUALITY STATISTICS
satellite_id,observation_type,count,mean,min,max,std
E30,D1C,109,-3631.270,-3715.040,-3547.690,46.793
E30,S1C,109,38.776,26.400,45.800,6.194
E30,C5Q,96,25602483.260,25580337.401,25625363.530,14004.087
E30,L5Q,96,3025262.265,753573.830,5907761.418,2507150.183
E30,D5Q,96,-2710.449,-2774.922,-2651.712,36.807
E30,S5Q,96,34.158,18.500,43.500,5.334
E27,C1C,109,23520776.331,23518977.950,23522695.976,1089.981
E27,L1C,109,691906.442,624866.001,760931.165,39875.623
E27,D1C,109,-1259.598,-1339.566,-1180.867,43.213
E27,S1C,109,42.710,40.300,45.200,1.480
E27,C5Q,109,23520790.760,23518989.342,23522714.564,1090.148
E27,L5Q,109,837451.318,787387.991,889025.301,29779.030
E27,D5Q,109,-940.916,-1002.435,-883.226,32.421
E27,S5Q,109,30.640,27.500,36.400,2.155
C21,C2I,109,22340421.113,22323556.723,22357419.181,9912.047
C21,L2I,109,-99090.063,-263406.124,67120.400,96791.648
C21,D2I,109,-3060.166,-3139.182,-2982.744,42.165
C21,S2I,109,43.797,40.800,47.200,1.734
C21,C5P,109,22340431.727,22323569.614,22357431.172,9911.869
C21,L5P,109,563250.323,439418.192,688500.054,72942.130
C21,D5P,109,-2306.151,-2370.855,-2247.763,31.817
C21,S5P,109,35.528,29.300,40.600,2.979
E07,C1C,109,24314323.180,24303106.110,24325610.630,6583.538
E07,L1C,109,602888.010,467143.200,740947.837,80189.493
E07,D1C,109,-2534.965,-2620.109,-2451.637,47.589
E07,S1C,109,40.424,36.400,44.400,1.708
E07,C5Q,109,24314337.757,24303125.596,24325611.530,6583.034
E07,L5Q,109,1217183.275,1115817.907,1320252.189,59874.889
E07,D5Q,109,-1892.800,-1956.557,-1830.888,35.304
E07,S5Q,109,33.501,25.800,39.700,3.969
C26,C2I,109,22057343.149,22054462.114,22060313.763,1709.201
C26,L2I,109,37083.841,-23741.391,100060.574,36280.761
C26,D2I,109,-1146.052,-1227.470,-1067.151,44.876
C26,S2I,109,42.552,38.400,46.800,2.948
C26,C5P,109,22057355.336,22054479.801,22060318.259,1709.005
C26,L5P,109,660703.318,614906.265,708142.916,27322.021
C26,D5P,109,-863.098,-925.312,-804.850,34.265
C26,S5P,109,33.424,28.200,40.700,3.794
R08,C1C,109,19248406.891,19240453.611,19256623.817,4734.883
R08,L1C,109,-103175458.372,-103297414.425,-103052237.456,71815.190
R08,D1C,109,-2270.151,-2341.437,-2198.851,36.199
R08,S1C,109,39.831,36.200,42.900,1.711
R11,C1C,109,19611781.214,19610369.324,19613375.343,878.977
R11,L1C,109,-104900313.471,-104970559.748,-104828369.642,41680.068
R11,D1C,109,-1316.836,-1392.852,-1242.007,39.769
R11,S1C,109,41.634,37.800,46.400,2.870
E29,C1C,109,23813499.430,23800929.160,23826121.919,7375.527
E29,L1C,109,764241.185,753832.342,777015.464,6860.892
E29,D1C,109,-214.408,-298.452,-132.684,47.598
E29,S1C,109,40.912,31.800,46.900,4.330
E29,C5Q,109,23813512.651,23800940.252,23826142.904,7377.512
E29,L5Q,109,701002.855,693242.364,710543.960,5116.441
E29,D5Q,109,-159.992,-223.164,-96.668,35.619
E29,S5Q,109,33.611,27.700,40.900,3.035
R10,C1C,109,21024096.058,20994358.808,21053905.984,17426.596
R10,L1C,109,-112170915.522,-112407418.928,-111932135.213,139144.614
R10,D1C,109,-4399.227,-4484.825,-4312.779,48.848
R10,S1C,109,31.655,26.600,36.700,3.389
C09,C2I,109,39220295.763,39219357.504,39221152.361,512.914
C09,L2I,109,8335.049,-71847.434,91392.104,47829.771
C09,D2I,109,-1511.238,-1610.884,-1421.958,54.774
C09,S2I,109,32.924,30.000,39.200,2.668
R01,C1C,108,20741433.277,20710270.678,20773263.969,18293.916
R01,L1C,108,-110976487.726,-111065447.929,-110887019.364,51787.749
R01,D1C,108,1653.212,1571.313,1736.521,44.351
R01,S1C,108,29.681,23.600,38.300,4.178
C14,C2I,109,24470360.237,24443430.565,24497365.327,15776.066
C14,L2I,109,1005382.183,943042.906,1069960.732,37108.755
C14,D2I,109,1175.388,1095.244,1257.369,46.316
C14,S2I,109,33.006,28.900,36.600,2.247
R12,C1C,109,22883486.658,22852571.394,22914505.818,18124.831
R12,L1C,109,-122340343.722,-122425608.774,-122252963.003,50477.263
R12,D1C,109,1598.064,1516.203,1677.641,45.931
R12,S1C,109,34.667,32.800,42.000,2.506
E21,C1C,108,25713855.488,25688295.963,25739989.476,14990.228
E21,L1C,108,5870093.231,1928882.924,11962472.508,2936006.474
E21,D1C,108,1067.653,983.639,1152.596,47.551
E21,S1C,108,32.737,30.300,36.900,1.694
E21,C5Q,106,25713542.659,25688317.248,25739849.173,14956.322
E21,L5Q,106,2525313.040,965002.854,2799257.096,609882.949
E21,D5Q,106,798.780,724.555,858.417,35.874
E21,S5Q,106,26.747,21.900,33.000,2.483
R07,C1C,108,22196380.438,22157838.048,22235101.759,22731.485
R07,L1C,108,-118919937.655,-119205246.083,-118633116.499,168332.811
R07,D1C,108,-5299.189,-5380.165,-5215.311,44.482
R07,S1C,108,31.015,26.800,38.900,3.017
C10,C2I,108,38620227.084,38610705.065,38629687.324,5534.156
C10,L2I,108,1072015.930,1045290.465,1100914.441,16309.358
C10,D2I,108,-515.265,-601.217,-428.767,50.157
C10,S2I,108,34.578,25.500,40.600,4.176
E19,C1C,107,26335958.993,26311586.967,26360417.463,14373.098
E19,L1C,107,5031816.470,1186064.762,8446493.821,3436989.272
E19,D1C,107,963.967,865.081,1058.626,55.154
E19,S1C,107,25.490,21.500,31.400,2.988
E19,C5Q,14,26331350.550,26321507.699,26339455.075,7784.404
E19,L5Q,14,5618421.674,4568632.646,7016991.579,1254905.798
E19,D5Q,14,782.030,717.563,983.001,94.495
E19,S5Q,14,19.593,15.000,24.100,3.766
G17,C1C,107,23694186.623,23663941.094,23724577.417,17815.831
G17,L1C,107,253137.381,171861.498,336616.958,48376.539
G17,D1C,107,1540.028,1450.334,1627.132,52.504
G17,S1C,107,30.203,26.600,38.700,3.043
C22,C2I,3,25476976.756,25456513.223,25494884.259,19312.795
C22,L2I,3,5504951.973,2446104.756,8148560.389,2873815.845
C22,D2I,3,-4772.475,-4775.214,-4769.035,3.149
C22,S2I,3,25.333,22.900,28.700,3.011
G08,C1C,91,24323534.284,24305014.589,24340689.891,10888.937
G08,L1C,91,4971033.178,2238328.280,6326923.234,1848066.190
G08,D1C,91,-3274.941,-3360.127,-3192.644,45.235
G08,S1C,91,19.387,17.600,21.300,0.957
C07,C2I,98,38680253.648,38673663.280,38686841.257,3862.872
C07,L2I,98,74662.448,41071.203,110701.418,20299.210
C07,D2I,98,-717.956,-804.818,-637.669,50.554
C07,S2I,98,37.900,33.800,40.800,2.196
C29,C2I,62,26406879.844,26394073.963,26417933.845,8322.502
C29,L2I,62,6080457.745,3437706.743,10261943.646,3349714.652
C29,D2I,62,-109.435,-188.406,-26.131,48.514
C29,S2I,62,24.437,21.300,27.400,1.763
C29,C5P,5,26395108.007,26394616.887,26395560.034,382.416
C29,L5P,5,8480986.783,8480864.726,8481087.687,87.705
C29,D5P,5,-56.715,-79.975,-42.933,17.242
C29,S5P,5,18.520,18.000,18.900,0.370
C05,C2I,23,37381412.530,37381232.211,37381625.239,108.280
C05,L2I,23,8446566.292,8426421.845,8463543.900,11470.946
C05,D2I,23,-1434.037,-1484.840,-1404.476,24.939
C05,S2I,23,38.239,29.200,41.200,4.520
C24,C2I,2,24512852.155,24512626.262,24513078.049,319.462
C24,L2I,2,257413.572,257027.204,257799.939,546.406
C24,D2I,2,772.707,772.679,772.735,0.040
C24,S2I,2,33.450,33.400,33.500,0.071
C24,C5P,2,24512866.995,24512646.948,24513087.043,311.194
C24,L5P,2,9344520.547,9344235.234,9344805.861,403.494
C24,D5P,2,571.053,570.626,571.481,0.605
C24,S5P,2,27.250,27.200,27.300,0.071
